player_id,team,opp,pos,name,fpts,proj_own,ceil,floor,min_exposure,max_exposure
1849728,LAC,KCC,WR,Joe Reed,0.68,0.1,1.26,0.05,0,100
49097,CAR,TBB,WR,Brandon Zylstra,0.28,0.1,0.57,0.02,0,100
35615,KCC,LAC,WR,Demarcus Robinson,4.22,0.1,8.44,0.08,0,100
18120,WAS,ARI,K,Dustin Hopkins,7.41,,10.37,3.56,0,100
1844487,IND,MIN,QB,Jacob Eason,0,,,,0,100
11837,MIN,IND,TE,Kyle Rudolph,6.69,0.1,10.37,1.14,0,100
36973,PHI,LAR,RB,Corey Clement,1.68,0.1,3.31,0.5,0,100
11614,ATL,DAL,QB,Matt Ryan,21.01,9.9,29.83,12.19,0,100
328275,GBP,DET,WR,Marquez Valdes-Scantling,8.74,1,16.43,0.52,0,100
972884,NYG,CHI,QB,Daniel Jones,16.92,1.1,27.41,7.78,0,100
13611,BAL,HOU,K,Justin Tucker,9.77,,13.68,4.69,0,100
1849727,LAC,KCC,WR,K.J. Hill,1.1,0.1,2.26,0.08,0,100
18420,CIN,CLE,DST,Bengals,6.33,,12.34,1.08,0,100
18427,IND,MIN,DST,Colts,7.02,3.8,13.69,1.19,0,100
972489,BAL,HOU,WR,Marquise Brown,14.26,7.5,24.1,2.14,0,100
16537,CIN,CLE,RB,Giovani Bernard,5.55,,9.82,0.56,0,100
37017,KCC,LAC,WR,Marcus Kemp,0.06,,0.12,0,0,100
36910,TEN,JAC,TE,Anthony Firkser,4.24,0.1,7.84,0.3,0,100
328677,WAS,ARI,WR,Cam Sims,0.04,0.1,0.08,0,0,100
1844643,PHI,LAR,WR,Jalen Reagor,9.99,3,19.98,0.2,0,100
1844585,DAL,ATL,QB,Ben DiNucci,0,,,,0,100
36844,CLE,CIN,TE,David Njoku,0,,,,0,100
36923,HOU,BAL,QB,Deshaun Watson,19.9,4.6,29.25,10.15,0,100
328212,CHI,NYG,WR,Anthony Miller,10.56,1.3,19.85,1.8,0,100
35685,DEN,PIT,TE,Nick Vannett,2.43,0.1,4.86,0.05,0,100
982820,LAR,PHI,WR,Nsimba Webster,0.12,0.1,0.25,0.01,0,100
13123,BUF,MIA,TE,Lee Smith,0,,,,0,100
37076,SEA,NEP,T5,David Moore,4.95,,9.9,0.1,0,100
37033,ATL,DAL,K,Younghoe Koo,7.94,,11.12,3.81,0,100
21607,NOS,LVR,RB,Michael Burton,0,,,,0,100
1844865,KCC,LAC,RB,Clyde Edwards-Helaire,18.08,13.3,35.26,7.41,0,100
328830,DEN,PIT,RB,Phillip Lindsay,0,,,,0,100
18429,KCC,LAC,DST,Chiefs,6.86,5.3,13.38,1.17,0,100
982663,DEN,PIT,TE,Austin Fort,0,,,,0,100
328793,TBB,CAR,WR,Justin Watson,6.56,0.1,11.09,1.25,0,100
